systemNanoTime (in ns);utcMilliTime (in ms);latitude (in deg);longitude (in deg);altitude (in m);speed (in m/s);bearing (in deg);azimuth (in deg);pitch (in deg);roll (in deg);gyrx (in rad/s);gyry (in rad/s);gyrz (in rad/s);accx (in m/s2);accy (in m/s2);accz (in m/s2)
150274781845069;0;0.0;0.0;0.0;0.0;0.0;320.0467834472656;-19.408721923828125;-1.7490662336349487;0.16553960740566254;-0.055052608251571655;-0.08651123940944672;-0.26440688967704773;3.7384862899780273;9.27846908569336
150274784471683;0;0.0;0.0;0.0;0.0;0.0;320.0467834472656;-19.408721923828125;-1.7490662336349487;0.16553960740566254;-0.055052608251571655;-0.08651123940944672;-0.19621145725250244;3.4654054641723633;8.823533058166504
150274811492673;0;0.0;0.0;0.0;0.0;0.0;320.0467834472656;-19.408721923828125;-1.7490662336349487;0.16553960740566254;-0.055052608251571655;-0.08651123940944672;0.02632104977965355;3.5635111331939697;8.615058898925781
150274816088454;0;0.0;0.0;0.0;0.0;0.0;320.0467834472656;-19.408721923828125;-1.7490662336349487;0.16553960740566254;-0.055052608251571655;-0.08651123940944672;0.07178468257188797;3.8892340660095215;8.93240737915039
150274819925954;0;0.0;0.0;0.0;0.0;0.0;320.0467834472656;-19.408721923828125;-1.7490662336349487;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;0.07178468257188797;3.8892340660095215;8.93240737915039
150274823177204;0;0.0;0.0;0.0;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;0.07178468257188797;3.8892340660095215;8.93240737915039
150274909803298;0;0.0;0.0;0.0;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;0.014356935396790504;3.9275193214416504;9.296415328979492
150274915160329;0;0.0;0.0;0.0;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;-0.16271193325519562;3.840181350708008;9.471091270446777
150274919313194;0;0.0;0.0;0.0;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;-0.27038896083831787;3.842574119567871;9.37896728515625
150274921978662;0;0.0;0.0;0.0;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;-0.3448655605316162;3.987339735031128;9.290432929992676
150274924441214;0;0.0;0.0;0.0;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;-0.24167509377002716;4.152444362640381;9.235098838806152
150274977695589;0;0.0;0.0;0.0;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;-0.05742774158716202;4.40757942199707;8.963513374328613
150274984541579;0;0.0;0.0;0.0;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;-0.14715859293937683;4.493721008300781;8.922835350036621
150274988794652;0;0.0;0.0;0.0;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;-0.29700911045074463;4.271188259124756;9.140582084655762
150274993150173;0;0.0;0.0;0.0;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;-0.4824528694152832;3.9071803092956543;9.325128555297852
150274999505694;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;-0.4824528694152832;3.9071803092956543;9.325128555297852
150275011520069;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;-0.5997011661529541;3.613760471343994;9.27846908569336
150275015852308;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.03436015918850899;-0.23677967488765717;-0.08101361989974976;-0.6870391964912415;3.6726837158203125;9.123832702636719
150275018622569;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.134033203125;-21.57106590270996;-1.2980111837387085;-0.09933903813362122;0.1560714691877365;0.16729579865932465;-0.6870391964912415;3.6726837158203125;9.123832702636719
150275021112621;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;323.3285217285156;-20.927345275878906;-0.00831439159810543;-0.09933903813362122;0.1560714691877365;0.16729579865932465;-0.6870391964912415;3.6726837158203125;9.123832702636719
150275124719287;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;323.3285217285156;-20.927345275878906;-0.00831439159810543;-0.09933903813362122;0.1560714691877365;0.16729579865932465;-0.6942176818847656;3.569493293762207;9.127422332763672
150275130776475;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;323.3285217285156;-20.927345275878906;-0.00831439159810543;-0.09933903813362122;0.1560714691877365;0.16729579865932465;-0.7576274871826172;3.4737801551818848;9.058030128479004
150275134566006;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;323.3285217285156;-20.927345275878906;-0.00831439159810543;-0.09933903813362122;0.1560714691877365;0.16729579865932465;-0.9218349456787109;3.387638568878174;8.895318031311035
150275137957100;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;323.3285217285156;-20.927345275878906;-0.00831439159810543;-0.09933903813362122;0.1560714691877365;0.16729579865932465;-1.0103694200515747;3.235694408416748;8.96112060546875
150275141346110;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;323.3285217285156;-20.927345275878906;-0.00831439159810543;-0.09933903813362122;0.1560714691877365;0.16729579865932465;-0.9768698215484619;3.1627132892608643;9.098708152770996
150275160193975;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;323.3285217285156;-20.927345275878906;-0.00831439159810543;-0.09933903813362122;0.1560714691877365;0.16729579865932465;-0.8847461938858032;3.108874797821045;9.200403213500977
150275166391475;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;323.3285217285156;-20.927345275878906;-0.00831439159810543;-0.09933903813362122;0.1560714691877365;0.16729579865932465;-0.893121063709259;3.05234432220459;9.205188751220703
